valid_time,t2m,latitude,longitude
2025-01-01 00:00:00,266.9944,47.5,13.3
2025-01-01 01:00:00,266.47754,47.5,13.3
2025-01-01 02:00:00,266.18506,47.5,13.3
2025-01-01 03:00:00,265.90967,47.5,13.3
2025-01-01 04:00:00,265.72925,47.5,13.3
2025-01-01 05:00:00,265.4922,47.5,13.3
2025-01-01 06:00:00,265.01367,47.5,13.3
2025-01-01 07:00:00,264.93652,47.5,13.3
2025-01-01 08:00:00,265.82275,47.5,13.3
2025-01-01 09:00:00,268.64233,47.5,13.3
2025-01-01 10:00:00,268.3833,47.5,13.3
2025-01-01 11:00:00,273.18213,47.5,13.3
2025-01-01 12:00:00,276.0974,47.5,13.3
2025-01-01 13:00:00,275.56616,47.5,13.3
2025-01-01 14:00:00,275.17505,47.5,13.3
2025-01-01 15:00:00,273.27905,47.5,13.3
2025-01-01 16:00:00,270.3103,47.5,13.3
2025-01-01 17:00:00,268.42236,47.5,13.3
2025-01-01 18:00:00,266.0288,47.5,13.3
2025-01-01 19:00:00,264.70337,47.5,13.3
2025-01-01 20:00:00,264.0708,47.5,13.3
2025-01-01 21:00:00,263.51978,47.5,13.3
2025-01-01 22:00:00,266.69727,47.5,13.3
2025-01-01 23:00:00,265.99976,47.5,13.3
2025-01-02 00:00:00,265.69604,47.5,13.3
2025-01-02 01:00:00,265.2705,47.5,13.3
2025-01-02 02:00:00,264.87402,47.5,13.3
2025-01-02 03:00:00,264.62427,47.5,13.3
2025-01-02 04:00:00,264.6272,47.5,13.3
2025-01-02 05:00:00,264.2727,47.5,13.3
2025-01-02 06:00:00,264.6521,47.5,13.3
2025-01-02 07:00:00,264.78735,47.5,13.3
2025-01-02 08:00:00,266.7527,47.5,13.3
2025-01-02 09:00:00,269.0432,47.5,13.3
2025-01-02 10:00:00,272.11255,47.5,13.3
2025-01-02 11:00:00,274.02417,47.5,13.3
2025-01-02 12:00:00,275.17065,47.5,13.3
2025-01-02 13:00:00,275.31616,47.5,13.3
2025-01-02 14:00:00,275.47778,47.5,13.3
2025-01-02 15:00:00,275.34863,47.5,13.3
2025-01-02 16:00:00,276.05444,47.5,13.3
2025-01-02 17:00:00,274.792,47.5,13.3
2025-01-02 18:00:00,273.9983,47.5,13.3
2025-01-02 19:00:00,273.66504,47.5,13.3
2025-01-02 20:00:00,272.93896,47.5,13.3
2025-01-02 21:00:00,272.08374,47.5,13.3
2025-01-02 22:00:00,272.2317,47.5,13.3
2025-01-02 23:00:00,272.4104,47.5,13.3
2025-01-03 00:00:00,272.2373,47.5,13.3
2025-01-03 01:00:00,271.82715,47.5,13.3
2025-01-03 02:00:00,271.0681,47.5,13.3
2025-01-03 03:00:00,270.58862,47.5,13.3
2025-01-03 04:00:00,269.79907,47.5,13.3
2025-01-03 05:00:00,269.03687,47.5,13.3
2025-01-03 06:00:00,269.61816,47.5,13.3
2025-01-03 07:00:00,269.3662,47.5,13.3
2025-01-03 08:00:00,268.9817,47.5,13.3
2025-01-03 09:00:00,269.17773,47.5,13.3
2025-01-03 10:00:00,269.87744,47.5,13.3
2025-01-03 11:00:00,269.98584,47.5,13.3
2025-01-03 12:00:00,270.34497,47.5,13.3
2025-01-03 13:00:00,270.15576,47.5,13.3
2025-01-03 14:00:00,269.17383,47.5,13.3
2025-01-03 15:00:00,266.61304,47.5,13.3
2025-01-03 16:00:00,266.948,47.5,13.3
2025-01-03 17:00:00,266.34424,47.5,13.3
2025-01-03 18:00:00,267.1172,47.5,13.3
2025-01-03 19:00:00,266.4917,47.5,13.3
2025-01-03 20:00:00,266.66748,47.5,13.3
2025-01-03 21:00:00,266.59033,47.5,13.3
2025-01-03 22:00:00,265.10864,47.5,13.3
2025-01-03 23:00:00,264.94775,47.5,13.3
2025-01-04 00:00:00,265.41772,47.5,13.3
2025-01-04 01:00:00,265.7119,47.5,13.3
2025-01-04 02:00:00,265.3943,47.5,13.3
2025-01-04 03:00:00,265.75024,47.5,13.3
2025-01-04 04:00:00,265.50635,47.5,13.3
2025-01-04 05:00:00,264.43628,47.5,13.3
2025-01-04 06:00:00,261.2212,47.5,13.3
2025-01-04 07:00:00,260.136,47.5,13.3
2025-01-04 08:00:00,259.72998,47.5,13.3
2025-01-04 09:00:00,262.53833,47.5,13.3
2025-01-04 10:00:00,266.46045,47.5,13.3
2025-01-04 11:00:00,268.27026,47.5,13.3
2025-01-04 12:00:00,269.11377,47.5,13.3
2025-01-04 13:00:00,269.5022,47.5,13.3
2025-01-04 14:00:00,269.63452,47.5,13.3
2025-01-04 15:00:00,269.42407,47.5,13.3
2025-01-04 16:00:00,267.97534,47.5,13.3
2025-01-04 17:00:00,266.4436,47.5,13.3
2025-01-04 18:00:00,264.9475,47.5,13.3
2025-01-04 19:00:00,263.44897,47.5,13.3
2025-01-04 20:00:00,262.188,47.5,13.3
2025-01-04 21:00:00,262.1416,47.5,13.3
2025-01-04 22:00:00,262.6526,47.5,13.3
2025-01-04 23:00:00,265.09106,47.5,13.3
2025-01-05 00:00:00,265.92798,47.5,13.3
2025-01-05 01:00:00,266.54126,47.5,13.3
2025-01-05 02:00:00,267.33618,47.5,13.3
2025-01-05 03:00:00,267.65894,47.5,13.3
2025-01-05 04:00:00,268.11353,47.5,13.3
2025-01-05 05:00:00,268.1687,47.5,13.3
2025-01-05 06:00:00,268.81714,47.5,13.3
2025-01-05 07:00:00,269.40088,47.5,13.3
2025-01-05 08:00:00,270.25708,47.5,13.3
2025-01-05 09:00:00,271.36768,47.5,13.3
2025-01-05 10:00:00,272.9768,47.5,13.3
2025-01-05 11:00:00,273.81787,47.5,13.3
2025-01-05 12:00:00,274.60986,47.5,13.3
2025-01-05 13:00:00,275.01953,47.5,13.3
2025-01-05 14:00:00,275.19043,47.5,13.3
2025-01-05 15:00:00,275.34912,47.5,13.3
2025-01-05 16:00:00,275.03467,47.5,13.3
2025-01-05 17:00:00,274.4026,47.5,13.3
2025-01-05 18:00:00,273.91406,47.5,13.3
2025-01-05 19:00:00,273.31787,47.5,13.3
2025-01-05 20:00:00,272.9287,47.5,13.3
2025-01-05 21:00:00,272.84106,47.5,13.3
2025-01-05 22:00:00,272.31982,47.5,13.3
2025-01-05 23:00:00,272.40552,47.5,13.3
2025-01-06 00:00:00,272.25586,47.5,13.3
2025-01-06 01:00:00,271.7683,47.5,13.3
2025-01-06 02:00:00,271.40796,47.5,13.3
2025-01-06 03:00:00,271.05957,47.5,13.3
2025-01-06 04:00:00,271.06592,47.5,13.3
2025-01-06 05:00:00,271.03467,47.5,13.3
2025-01-06 06:00:00,271.01685,47.5,13.3
2025-01-06 07:00:00,271.04492,47.5,13.3
2025-01-06 08:00:00,272.17578,47.5,13.3
2025-01-06 09:00:00,273.99146,47.5,13.3
2025-01-06 10:00:00,276.01025,47.5,13.3
2025-01-06 11:00:00,277.0398,47.5,13.3
2025-01-06 12:00:00,277.19946,47.5,13.3
2025-01-06 13:00:00,277.14038,47.5,13.3
2025-01-06 14:00:00,276.64307,47.5,13.3
2025-01-06 15:00:00,276.45605,47.5,13.3
2025-01-06 16:00:00,275.8982,47.5,13.3
2025-01-06 17:00:00,275.62256,47.5,13.3
2025-01-06 18:00:00,275.65063,47.5,13.3
2025-01-06 19:00:00,275.57178,47.5,13.3
2025-01-06 20:00:00,275.48926,47.5,13.3
2025-01-06 21:00:00,275.4292,47.5,13.3
2025-01-06 22:00:00,275.38452,47.5,13.3
2025-01-06 23:00:00,274.93018,47.5,13.3
2025-01-07 00:00:00,274.63892,47.5,13.3
2025-01-07 01:00:00,274.75806,47.5,13.3
2025-01-07 02:00:00,274.35425,47.5,13.3
2025-01-07 03:00:00,274.031,47.5,13.3
2025-01-07 04:00:00,273.46362,47.5,13.3
2025-01-07 05:00:00,273.16528,47.5,13.3
2025-01-07 06:00:00,273.23828,47.5,13.3
2025-01-07 07:00:00,273.3518,47.5,13.3
2025-01-07 08:00:00,273.38818,47.5,13.3
2025-01-07 09:00:00,273.34058,47.5,13.3
2025-01-07 10:00:00,272.65552,47.5,13.3
2025-01-07 11:00:00,272.34302,47.5,13.3
2025-01-07 12:00:00,272.58594,47.5,13.3
2025-01-07 13:00:00,272.3379,47.5,13.3
2025-01-07 14:00:00,272.062,47.5,13.3
2025-01-07 15:00:00,272.23755,47.5,13.3
2025-01-07 16:00:00,272.0354,47.5,13.3
2025-01-07 17:00:00,272.07202,47.5,13.3
2025-01-07 18:00:00,271.7871,47.5,13.3
2025-01-07 19:00:00,271.73804,47.5,13.3
2025-01-07 20:00:00,271.7329,47.5,13.3
2025-01-07 21:00:00,270.9353,47.5,13.3
2025-01-07 22:00:00,270.42383,47.5,13.3
2025-01-07 23:00:00,269.07056,47.5,13.3
2025-01-08 00:00:00,268.72925,47.5,13.3
2025-01-08 01:00:00,267.69238,47.5,13.3
2025-01-08 02:00:00,266.20435,47.5,13.3
2025-01-08 03:00:00,266.13403,47.5,13.3
2025-01-08 04:00:00,266.40063,47.5,13.3
