"Forecasts","date","Sum(SA_Nächtigungen)"
14914190.697311718,"2017-01-01",14602547
17306205.73064335,"2017-02-01",17280437
14490520.567686692,"2017-03-01",13874964
7145179.902202471,"2017-04-01",8348515
7780285.05608076,"2017-05-01",7163569
10267883.904883089,"2017-06-01",11271817
16622857.100544449,"2017-07-01",17695087
19975941.992130343,"2017-08-01",19977268
11170342.531709423,"2017-09-01",11091392
7690801.324978525,"2017-10-01",7787933
4719116.140905827,"2017-11-01",4843712
10710850.337035196,"2017-12-01",10562871
15120462.463507688,"2018-01-01",15424579
18531343.192580797,"2018-02-01",18206461
14575437.73260781,"2018-03-01",15523213
6904273.778165011,"2018-04-01",7278028
8094079.848144497,"2018-05-01",8504863
10198656.630167585,"2018-06-01",10777905
17477285.63592021,"2018-07-01",18361758
20482370.932171997,"2018-08-01",19766142
11476328.976148745,"2018-09-01",11288113
7617505.190913806,"2018-10-01",8048140
4889337.085094725,"2018-11-01",5227899
10867212.40880048,"2018-12-01",11412233
