"Datum","Year","Sesson","Sum(Sum(SA_Nächtigungen))"
"1974-01-01",1974,"Winter_Haupt",5581626
"1974-02-01",1974,"Winter_Haupt",5580351
"1974-03-01",1974,"Winter_Haupt",5994098
"1974-04-01",1974,"Übergang",4843727
"1974-05-01",1974,"Sommer_Neben",4083886
"1974-06-01",1974,"Sommer_Neben",9111958
"1974-07-01",1974,"Sommer_Haupt",21202790
"1974-08-01",1974,"Sommer_Haupt",24803977
"1974-09-01",1974,"Sommer_Neben",9461435
"1974-10-01",1974,"Übergang",2568584
"1974-11-01",1974,"Übergang",1215196
"1974-12-01",1974,"Winter_Haupt",5258506
"1975-01-01",1975,"Winter_Haupt",6296934
"1975-02-01",1975,"Winter_Haupt",6498262
"1975-03-01",1975,"Winter_Haupt",8513206
"1975-04-01",1975,"Übergang",3336488
"1975-05-01",1975,"Sommer_Neben",4809328
"1975-06-01",1975,"Sommer_Neben",9446767
"1975-07-01",1975,"Sommer_Haupt",24949936
"1975-08-01",1975,"Sommer_Haupt",22923048
"1975-09-01",1975,"Sommer_Neben",8875202
"1975-10-01",1975,"Übergang",2723754
"1975-11-01",1975,"Übergang",1236795
"1975-12-01",1975,"Winter_Haupt",5782258
"1976-01-01",1976,"Winter_Haupt",6945092
"1976-02-01",1976,"Winter_Haupt",7283543
"1976-03-01",1976,"Winter_Haupt",6407335
"1976-04-01",1976,"Übergang",5240361
"1976-05-01",1976,"Sommer_Neben",4225927
"1976-06-01",1976,"Sommer_Neben",9871341
"1976-07-01",1976,"Sommer_Haupt",23977697
"1976-08-01",1976,"Sommer_Haupt",22133849
"1976-09-01",1976,"Sommer_Neben",9050150
"1976-10-01",1976,"Übergang",2850000
"1976-11-01",1976,"Übergang",1252049
"1976-12-01",1976,"Winter_Haupt",5294998
"1977-01-01",1977,"Winter_Haupt",7634971
"1977-02-01",1977,"Winter_Haupt",7905493
"1977-03-01",1977,"Winter_Haupt",6856720
"1977-04-01",1977,"Übergang",5287386
"1977-05-01",1977,"Sommer_Neben",4700974
"1977-06-01",1977,"Sommer_Neben",10106491
"1977-07-01",1977,"Sommer_Haupt",23277715
"1977-08-01",1977,"Sommer_Haupt",20967513
"1977-09-01",1977,"Sommer_Neben",8492968
"1977-10-01",1977,"Übergang",3061405
"1977-11-01",1977,"Übergang",1338749
"1977-12-01",1977,"Winter_Haupt",5560137
"1978-01-01",1978,"Winter_Haupt",8481689
"1978-02-01",1978,"Winter_Haupt",8290662
"1978-03-01",1978,"Winter_Haupt",10064355
"1978-04-01",1978,"Übergang",3101374
"1978-05-01",1978,"Sommer_Neben",5341878
"1978-06-01",1978,"Sommer_Neben",9019707
"1978-07-01",1978,"Sommer_Haupt",22649263
"1978-08-01",1978,"Sommer_Haupt",22067724
"1978-09-01",1978,"Sommer_Neben",8796999
"1978-10-01",1978,"Übergang",3095467
"1978-11-01",1978,"Übergang",1433061
"1978-12-01",1978,"Winter_Haupt",6009280
"1979-01-01",1979,"Winter_Haupt",8777230
"1979-02-01",1979,"Winter_Haupt",8498327
"1979-03-01",1979,"Winter_Haupt",6744278
"1979-04-01",1979,"Übergang",5985356
"1979-05-01",1979,"Sommer_Neben",4659976
"1979-06-01",1979,"Sommer_Neben",10174228
"1979-07-01",1979,"Sommer_Haupt",23411054
"1979-08-01",1979,"Sommer_Haupt",23419446
"1979-09-01",1979,"Sommer_Neben",9609616
"1979-10-01",1979,"Übergang",3520195
"1979-11-01",1979,"Übergang",1604171
"1979-12-01",1979,"Winter_Haupt",6161986
"1980-01-01",1980,"Winter_Haupt",8521905
"1980-02-01",1980,"Winter_Haupt",9501815
"1980-03-01",1980,"Winter_Haupt",7914099
"1980-04-01",1980,"Übergang",6093622
"1980-05-01",1980,"Sommer_Neben",5609707
"1980-06-01",1980,"Sommer_Neben",10726643
"1980-07-01",1980,"Sommer_Haupt",23616644
"1980-08-01",1980,"Sommer_Haupt",23791511
"1980-09-01",1980,"Sommer_Neben",10689845
"1980-10-01",1980,"Übergang",3791627
"1980-11-01",1980,"Übergang",1527951
"1980-12-01",1980,"Winter_Haupt",6961003
"1981-01-01",1981,"Winter_Haupt",9623620
"1981-02-01",1981,"Winter_Haupt",9563003
"1981-03-01",1981,"Winter_Haupt",8820020
"1981-04-01",1981,"Übergang",6606487
"1981-05-01",1981,"Sommer_Neben",5102585
"1981-06-01",1981,"Sommer_Neben",10444903
"1981-07-01",1981,"Sommer_Haupt",22451662
"1981-08-01",1981,"Sommer_Haupt",25214890
"1981-09-01",1981,"Sommer_Neben",11190060
"1981-10-01",1981,"Übergang",3796459
"1981-11-01",1981,"Übergang",1584298
"1981-12-01",1981,"Winter_Haupt",6741099
"1982-01-01",1982,"Winter_Haupt",10097766
"1982-02-01",1982,"Winter_Haupt",11063162
"1982-03-01",1982,"Winter_Haupt",8680391
"1982-04-01",1982,"Übergang",6251539
"1982-05-01",1982,"Sommer_Neben",5383356
"1982-06-01",1982,"Sommer_Neben",10131773
"1982-07-01",1982,"Sommer_Haupt",21819622
"1982-08-01",1982,"Sommer_Haupt",22940022
"1982-09-01",1982,"Sommer_Neben",10778734
"1982-10-01",1982,"Übergang",3843656
"1982-11-01",1982,"Übergang",1527686
"1982-12-01",1982,"Winter_Haupt",5875870
"1983-01-01",1983,"Winter_Haupt",9600275
"1983-02-01",1983,"Winter_Haupt",11268209
"1983-03-01",1983,"Winter_Haupt",10080623
"1983-04-01",1983,"Übergang",5070060
"1983-05-01",1983,"Sommer_Neben",5620023
