"Datum","Bundesland","Sum(SA_Nächtigungen)","Prediction_real"
"2024-01-01","Tirol",6290032,
"2024-02-01","Tirol",7610599,
"2024-03-01","Tirol",5418584,
"2024-04-01","Tirol",1610143,
"2024-05-01","Tirol",2168642,
"2024-06-01","Tirol",2915382,
"2024-07-01","Tirol",5539044,
"2024-08-01","Tirol",6365661,
"2024-09-01","Tirol",3294288,
"2024-10-01","Tirol",2387341,
"2024-11-01","Tirol",1118554,
"2024-12-01","Tirol",4450904,
"2025-01-01","Tirol",,4019942.984548282
"2025-02-01","Tirol",,4478390.560468987
"2025-03-01","Tirol",,2192002.5313935247
"2025-04-01","Tirol",,1355102.7536477288
"2025-05-01","Tirol",,2265921.389056001
"2025-06-01","Tirol",,2767813.4873233233
"2025-07-01","Tirol",,5249483.513774204
"2025-08-01","Tirol",,6010389.058545557
"2025-09-01","Tirol",,3271682.9886038345
"2025-10-01","Tirol",,2361640.8399323747
"2025-11-01","Tirol",,791748.0612595343
"2025-12-01","Tirol",,3827586.860559563
