"Datum","Bundesland","Sum(SA_Nächtigungen)","Prediction_real"
"2024-01-01","Wien",998372,
"2024-02-01","Wien",1019700,
"2024-03-01","Wien",1354033,
"2024-04-01","Wien",1540597,
"2024-05-01","Wien",1724377,
"2024-06-01","Wien",1653762,
"2024-07-01","Wien",1815777,
"2024-08-01","Wien",1946487,
"2024-09-01","Wien",1562091,
"2024-10-01","Wien",1699489,
"2024-11-01","Wien",1547399,
"2024-12-01","Wien",2002880,
"2025-01-01","Wien",,1014289.0993973518
"2025-02-01","Wien",,589429.4227432075
"2025-03-01","Wien",,989646.6559448909
"2025-04-01","Wien",,1112138.1101583994
"2025-05-01","Wien",,1204013.641793316
"2025-06-01","Wien",,1041350.0457563568
"2025-07-01","Wien",,1084284.6303577726
"2025-08-01","Wien",,1382482.2535060118
"2025-09-01","Wien",,380022.7699842718
"2025-10-01","Wien",,1193004.4563640256
"2025-11-01","Wien",,780969.4701485587
"2025-12-01","Wien",,806956.7044485612
