"Datum","Sum(Sum(SA_Nächtigungen))","Sum(Prediction_real)"
"2017-01-01",14602547,13332585.497214852
"2017-02-01",17280437,15453242.163920283
"2017-03-01",13874964,14190249.492790999
"2017-04-01",8348515,6601830.011828564
"2017-05-01",7163569,7604947.156651055
"2017-06-01",11271817,9131449.85420399
"2017-07-01",17695087,16243760.26069499
"2017-08-01",19977268,18027071.97437764
"2017-09-01",11091392,10761575.251438165
"2017-10-01",7787933,7404892.3847687105
"2017-11-01",4843712,4273023.863781463
"2017-12-01",10562871,10827516.227839924
"2018-01-01",15424579,14745233.118809063
"2018-02-01",18206461,15165070.951152615
"2018-03-01",15523213,14340844.950398386
"2018-04-01",7278028,7162773.580371367
"2018-05-01",8504863,7377197.457230861
"2018-06-01",10777905,9094642.449342767
"2018-07-01",18361758,15892820.146203972
"2018-08-01",19766142,17715375.689051338
"2018-09-01",11288113,10658453.91172918
"2018-10-01",8048140,7759009.805224601
"2018-11-01",5227899,4501109.435277955
"2018-12-01",11412233,11135252.110338738
"2019-01-01",15156391,15357916.764463805
"2019-02-01",17862768,14703516.505129026
"2019-03-01",14979370,13868675.60067195
"2019-04-01",8276601,6860582.332358178
"2019-05-01",7465251,7240622.948281847
"2019-06-01",12610524,8796237.762772962
"2019-07-01",18754000,16006334.836651945
"2019-08-01",20194697,17528601.982343066
"2019-09-01",11428432,11000773.25396853
"2019-10-01",8521969,7302085.661258115
"2019-11-01",5301369,4076310.7430390557
"2019-12-01",12157712,10706322.049976962
