"Datum","Sum(Sum(SA_Nächtigungen))","Sum(Prediction_real)"
"2017-01-01",14602547,14094202.674008394
"2017-02-01",17280437,17231949.267836913
"2017-03-01",13874964,14353397.67732933
"2017-04-01",8348515,6531796.457129674
"2017-05-01",7163569,7706124.600082367
"2017-06-01",11271817,9225448.13673609
"2017-07-01",17695087,17543760.831061203
"2017-08-01",19977268,19589745.153855123
"2017-09-01",11091392,10850917.962456303
"2017-10-01",7787933,8180489.889419332
"2017-11-01",4843712,4839418.210717695
"2017-12-01",10562871,10000163.839472225
"2018-01-01",15424579,14745766.359362219
"2018-02-01",18206461,17622346.094742782
"2018-03-01",15523213,14473990.05051937
"2018-04-01",7278028,8057236.666423862
"2018-05-01",8504863,7112737.418300867
"2018-06-01",10777905,11067695.36901329
"2018-07-01",18361758,17464977.331399675
"2018-08-01",19766142,19854113.223158453
"2018-09-01",11288113,11177874.659971615
"2018-10-01",8048140,8351527.017531007
"2018-11-01",5227899,5062647.359020427
"2018-12-01",11412233,10560060.362861725
"2019-01-01",15156391,15064769.66675326
"2019-02-01",17862768,17124807.991841044
"2019-03-01",14979370,14836274.767401755
"2019-04-01",8276601,6963151.164493529
"2019-05-01",7465251,7996785.875549851
"2019-06-01",12610524,10640417.8653841
"2019-07-01",18754000,18174176.10974207
"2019-08-01",20194697,19311605.371770944
"2019-09-01",11428432,11314603.05557876
"2019-10-01",8521969,8410249.913122138
"2019-11-01",5301369,5257797.46149338
"2019-12-01",12157712,11343884.475849729
