"RowIDs","Type","Nächtigungen","Datum"
"Row0","Sum(Sum(SA_Nächtigungen))",14602547,"2017-01-01"
"Row0","Sum(Prediction_real)",14094202.674008394,"2017-01-01"
"Row1","Sum(Sum(SA_Nächtigungen))",17280437,"2017-02-01"
"Row1","Sum(Prediction_real)",17231949.267836913,"2017-02-01"
"Row2","Sum(Sum(SA_Nächtigungen))",13874964,"2017-03-01"
"Row2","Sum(Prediction_real)",14353397.67732933,"2017-03-01"
"Row3","Sum(Sum(SA_Nächtigungen))",8348515,"2017-04-01"
"Row3","Sum(Prediction_real)",6531796.457129674,"2017-04-01"
"Row4","Sum(Sum(SA_Nächtigungen))",7163569,"2017-05-01"
"Row4","Sum(Prediction_real)",7706124.600082367,"2017-05-01"
"Row5","Sum(Sum(SA_Nächtigungen))",11271817,"2017-06-01"
"Row5","Sum(Prediction_real)",9225448.13673609,"2017-06-01"
"Row6","Sum(Sum(SA_Nächtigungen))",17695087,"2017-07-01"
"Row6","Sum(Prediction_real)",17543760.831061203,"2017-07-01"
"Row7","Sum(Sum(SA_Nächtigungen))",19977268,"2017-08-01"
"Row7","Sum(Prediction_real)",19589745.153855123,"2017-08-01"
"Row8","Sum(Sum(SA_Nächtigungen))",11091392,"2017-09-01"
"Row8","Sum(Prediction_real)",10850917.962456303,"2017-09-01"
"Row9","Sum(Sum(SA_Nächtigungen))",7787933,"2017-10-01"
"Row9","Sum(Prediction_real)",8180489.889419332,"2017-10-01"
"Row10","Sum(Sum(SA_Nächtigungen))",4843712,"2017-11-01"
"Row10","Sum(Prediction_real)",4839418.210717695,"2017-11-01"
"Row11","Sum(Sum(SA_Nächtigungen))",10562871,"2017-12-01"
"Row11","Sum(Prediction_real)",10000163.839472225,"2017-12-01"
"Row12","Sum(Sum(SA_Nächtigungen))",15424579,"2018-01-01"
"Row12","Sum(Prediction_real)",14745766.359362219,"2018-01-01"
"Row13","Sum(Sum(SA_Nächtigungen))",18206461,"2018-02-01"
"Row13","Sum(Prediction_real)",17622346.094742782,"2018-02-01"
"Row14","Sum(Sum(SA_Nächtigungen))",15523213,"2018-03-01"
"Row14","Sum(Prediction_real)",14473990.05051937,"2018-03-01"
"Row15","Sum(Sum(SA_Nächtigungen))",7278028,"2018-04-01"
"Row15","Sum(Prediction_real)",8057236.666423862,"2018-04-01"
"Row16","Sum(Sum(SA_Nächtigungen))",8504863,"2018-05-01"
"Row16","Sum(Prediction_real)",7112737.418300867,"2018-05-01"
"Row17","Sum(Sum(SA_Nächtigungen))",10777905,"2018-06-01"
"Row17","Sum(Prediction_real)",11067695.36901329,"2018-06-01"
"Row18","Sum(Sum(SA_Nächtigungen))",18361758,"2018-07-01"
"Row18","Sum(Prediction_real)",17464977.331399675,"2018-07-01"
"Row19","Sum(Sum(SA_Nächtigungen))",19766142,"2018-08-01"
"Row19","Sum(Prediction_real)",19854113.223158453,"2018-08-01"
"Row20","Sum(Sum(SA_Nächtigungen))",11288113,"2018-09-01"
"Row20","Sum(Prediction_real)",11177874.659971615,"2018-09-01"
"Row21","Sum(Sum(SA_Nächtigungen))",8048140,"2018-10-01"
"Row21","Sum(Prediction_real)",8351527.017531007,"2018-10-01"
"Row22","Sum(Sum(SA_Nächtigungen))",5227899,"2018-11-01"
"Row22","Sum(Prediction_real)",5062647.359020427,"2018-11-01"
"Row23","Sum(Sum(SA_Nächtigungen))",11412233,"2018-12-01"
"Row23","Sum(Prediction_real)",10560060.362861725,"2018-12-01"
"Row24","Sum(Sum(SA_Nächtigungen))",15156391,"2019-01-01"
"Row24","Sum(Prediction_real)",15064769.66675326,"2019-01-01"
"Row25","Sum(Sum(SA_Nächtigungen))",17862768,"2019-02-01"
"Row25","Sum(Prediction_real)",17124807.991841044,"2019-02-01"
"Row26","Sum(Sum(SA_Nächtigungen))",14979370,"2019-03-01"
"Row26","Sum(Prediction_real)",14836274.767401755,"2019-03-01"
"Row27","Sum(Sum(SA_Nächtigungen))",8276601,"2019-04-01"
"Row27","Sum(Prediction_real)",6963151.164493529,"2019-04-01"
"Row28","Sum(Sum(SA_Nächtigungen))",7465251,"2019-05-01"
"Row28","Sum(Prediction_real)",7996785.875549851,"2019-05-01"
"Row29","Sum(Sum(SA_Nächtigungen))",12610524,"2019-06-01"
"Row29","Sum(Prediction_real)",10640417.8653841,"2019-06-01"
"Row30","Sum(Sum(SA_Nächtigungen))",18754000,"2019-07-01"
"Row30","Sum(Prediction_real)",18174176.10974207,"2019-07-01"
"Row31","Sum(Sum(SA_Nächtigungen))",20194697,"2019-08-01"
"Row31","Sum(Prediction_real)",19311605.371770944,"2019-08-01"
"Row32","Sum(Sum(SA_Nächtigungen))",11428432,"2019-09-01"
"Row32","Sum(Prediction_real)",11314603.05557876,"2019-09-01"
"Row33","Sum(Sum(SA_Nächtigungen))",8521969,"2019-10-01"
"Row33","Sum(Prediction_real)",8410249.913122138,"2019-10-01"
"Row34","Sum(Sum(SA_Nächtigungen))",5301369,"2019-11-01"
"Row34","Sum(Prediction_real)",5257797.46149338,"2019-11-01"
"Row35","Sum(Sum(SA_Nächtigungen))",12157712,"2019-12-01"
"Row35","Sum(Prediction_real)",11343884.475849729,"2019-12-01"
