"Datum","Prediction_real","Jahr","Month","Bundesland","Sum(SA_Nächtigungen)"
"2035-01-01",3844345.338087672,2035,"Jänner","Tirol",
"2035-02-01",4609036.930061064,2035,"Februar","Tirol",
"2035-03-01",4586201.811130688,2035,"März","Tirol",
"2035-04-01",887175.1868806491,2035,"April","Tirol",
"2035-05-01",1191517.221978134,2035,"Mai","Tirol",
"2035-06-01",2647731.401815626,2035,"Juni","Tirol",
"2035-07-01",5910061.121828673,2035,"Juli","Tirol",
"2035-08-01",4071757.0550099663,2035,"August","Tirol",
"2035-09-01",2383786.6746149547,2035,"September","Tirol",
"2035-10-01",489543.4879700611,2035,"Oktober","Tirol",
"2035-11-01",286739.20146447263,2035,"November","Tirol",
"2035-12-01",2845641.727443358,2035,"Dezember","Tirol",
"2049-01-01",3487378.05869823,2049,"Jänner","Tirol",
"2049-02-01",5121237.685406042,2049,"Februar","Tirol",
"2049-03-01",4309393.908188831,2049,"März","Tirol",
"2049-04-01",477357.5200004471,2049,"April","Tirol",
"2049-05-01",1182386.8243000752,2049,"Mai","Tirol",
"2049-06-01",2727460.793000371,2049,"Juni","Tirol",
"2049-07-01",5993772.2068813685,2049,"Juli","Tirol",
"2049-08-01",7388147.541140096,2049,"August","Tirol",
"2049-09-01",2975031.536221976,2049,"September","Tirol",
"2049-10-01",1168373.115410362,2049,"Oktober","Tirol",
"2049-11-01",242499.6917466097,2049,"November","Tirol",
"2049-12-01",2972754.127021225,2049,"Dezember","Tirol",
"2024-01-01",,2024,"Jänner","Tirol",6290032
"2024-02-01",,2024,"Februar","Tirol",7610599
"2024-03-01",,2024,"März","Tirol",5418584
"2024-04-01",,2024,"April","Tirol",1610143
"2024-05-01",,2024,"Mai","Tirol",2168642
"2024-06-01",,2024,"Juni","Tirol",2915382
"2024-07-01",,2024,"Juli","Tirol",5539044
"2024-08-01",,2024,"August","Tirol",6365661
"2024-09-01",,2024,"September","Tirol",3294288
"2024-10-01",,2024,"Oktober","Tirol",2387341
"2024-11-01",,2024,"November","Tirol",1118554
"2024-12-01",,2024,"Dezember","Tirol",4450904
