"Jahr","Sesson","Sum(Prediction_real)","Jahr (Right)","Total_Jahr","Anteil"
2025,"Sommer_Haupt",35248284.29726342,2025,107979604.98305269,32.6434647568822
2025,"Sommer_Neben",23573669.449971166,2025,107979604.98305269,21.831594451258674
2025,"Winter_Haupt",37342428.0565368,2025,107979604.98305269,34.58285299561678
2025,"Übergang",11815223.179281333,2025,107979604.98305269,10.942087796242376
2026,"Sommer_Haupt",35757265.00363537,2026,103899629.94996575,34.41519957371817
2026,"Sommer_Neben",24063671.206776343,2026,103899629.94996575,23.16049750934101
2026,"Winter_Haupt",32361391.887829814,2026,103899629.94996575,31.14678262416707
2026,"Übergang",11717301.85172424,2026,103899629.94996575,11.27752029277377
2027,"Sommer_Haupt",35299662.923302114,2027,109706413.00436372,32.17648080600176
2027,"Sommer_Neben",23000945.189465746,2027,109706413.00436372,20.96590760701551
2027,"Winter_Haupt",37015996.53588273,2027,109706413.00436372,33.74095964144809
2027,"Übergang",14389808.35571312,2027,109706413.00436372,13.116651945534622
2028,"Sommer_Haupt",32268223.653142847,2028,107676317.12721883,29.967800268482588
2028,"Sommer_Neben",23445607.276943527,2028,107676317.12721883,21.774154152433265
2028,"Winter_Haupt",38527672.92399411,2028,107676317.12721883,35.781009187446415
2028,"Übergang",13434813.273138348,2028,107676317.12721883,12.477036391637734
2029,"Sommer_Haupt",34592761.56126838,2029,107574613.80263598,32.15699349359015
2029,"Sommer_Neben",23204095.263363156,2029,107574613.80263598,21.570233387902313
2029,"Winter_Haupt",37467622.32480788,2029,107574613.80263598,34.82942768778946
2029,"Übergang",12310134.653196605,2029,107574613.80263598,11.443345430718116
2030,"Sommer_Haupt",37861621.346549526,2030,111732487.72041818,33.885955749314824
2030,"Sommer_Neben",23575107.332943548,2030,111732487.72041818,21.099599421731476
2030,"Winter_Haupt",37169999.5625584,2030,111732487.72041818,33.26695782122632
2030,"Übergang",13125759.47836675,2030,111732487.72041818,11.74748700772741
2031,"Sommer_Haupt",34837352.83885754,2031,105392015.55354093,33.055020967086044
2031,"Sommer_Neben",23632558.910669904,2031,105392015.55354093,22.423481310748976
2031,"Winter_Haupt",35705086.62027454,2031,105392015.55354093,33.87836017059162
2031,"Übergang",11217017.183738966,2031,105392015.55354093,10.643137551573375
2032,"Sommer_Haupt",36134715.16859471,2032,111128319.96322946,32.51620755227029
2032,"Sommer_Neben",23152629.856364388,2032,111128319.96322946,20.834140086006173
