"Datum","Prediction_real","Jahr","Month","Bundesland","Sum(SA_Nächtigungen)"
"2035-01-01",392320.5394050603,2035,"Jänner","Wien",
"2035-02-01",368253.39680675743,2035,"Februar","Wien",
"2035-03-01",452626.71305185213,2035,"März","Wien",
"2035-04-01",660112.1320668055,2035,"April","Wien",
"2035-05-01",597999.4460704087,2035,"Mai","Wien",
"2035-06-01",618168.7855562622,2035,"Juni","Wien",
"2035-07-01",1061676.209675557,2035,"Juli","Wien",
"2035-08-01",855750.0008513128,2035,"August","Wien",
"2035-09-01",1001861.5428260614,2035,"September","Wien",
"2035-10-01",799183.2034935296,2035,"Oktober","Wien",
"2035-11-01",547974.2732552992,2035,"November","Wien",
"2035-12-01",416567.81047655543,2035,"Dezember","Wien",
"2049-01-01",375474.3080186767,2049,"Jänner","Wien",
"2049-02-01",567472.3409321847,2049,"Februar","Wien",
"2049-03-01",570447.4285012111,2049,"März","Wien",
"2049-04-01",736267.9680501947,2049,"April","Wien",
"2049-05-01",586915.9166140686,2049,"Mai","Wien",
"2049-06-01",680868.2985013342,2049,"Juni","Wien",
"2049-07-01",862509.4459515627,2049,"Juli","Wien",
"2049-08-01",988869.2689523317,2049,"August","Wien",
"2049-09-01",655426.231875516,2049,"September","Wien",
"2049-10-01",1222885.4764019873,2049,"Oktober","Wien",
"2049-11-01",561047.2453033937,2049,"November","Wien",
"2049-12-01",350977.8536345196,2049,"Dezember","Wien",
"2024-01-01",,2024,"Jänner","Wien",998372
"2024-02-01",,2024,"Februar","Wien",1019700
"2024-03-01",,2024,"März","Wien",1354033
"2024-04-01",,2024,"April","Wien",1540597
"2024-05-01",,2024,"Mai","Wien",1724377
"2024-06-01",,2024,"Juni","Wien",1653762
"2024-07-01",,2024,"Juli","Wien",1815777
"2024-08-01",,2024,"August","Wien",1946487
"2024-09-01",,2024,"September","Wien",1562091
"2024-10-01",,2024,"Oktober","Wien",1699489
"2024-11-01",,2024,"November","Wien",1547399
"2024-12-01",,2024,"Dezember","Wien",2002880
