"Bundesland","Jahr","Mean(Temp_final)","Mean(era5_temp)","Mean(Mean(rr_final))","Mean(Mean(sun_hours_final))","Mean(zamg_temp)","Mean(Mean(snow_height_final))","Min*(Mean(temp_min_month))","Max*(Mean(temp_max_month))","MA(Mean(Temp_final))"
"Burgenland",1974,11.071801715309782,10.345740122202514,42.35833333333333,136.9916666666667,11.071801715309782,,-4.6,34.6,
"Kärnten",1974,6.730053123399898,7.108920730441439,61.202777777777776,149.78958333333333,6.730053123399898,,-9.3,28.666666666666668,
"Niederösterreich",1974,8.973031406954904,9.052212449730138,56.738888888888894,128.82833333333332,8.973031406954904,,-8.833333333333334,33.96666666666667,
"Oberösterreich",1974,8.547017205464787,8.955920114684696,63.84027777777778,126.52499999999998,8.547017205464787,,-10.2,32.900000000000006,
"Salzburg",1974,0.7230879842976614,3.1755976763446427,123.37222222222223,124.44999999999999,0.7230879842976614,,-16.233333333333334,21.4,7.208998287085407
"Steiermark",1974,9.63200823519372,8.390388471867555,46.772222222222226,133.93055555555554,9.63200823519372,,-7.9333333333333345,32.63333333333333,6.921039591062195
"Tirol",1974,9.103730158730158,2.133867439217468,72.45555555555555,146.4177083333333,9.103730158730158,,-10.8,33.3,7.395774998128247
"Vorarlberg",1974,9.437750659054998,5.55242782433278,133.95833333333334,140.96666666666667,9.437750659054998,,-5.35,31.3,7.488718848548266
"Wien",1974,10.3147834457888,10.32533278182339,39.7074074074074,131.57999999999998,10.3147834457888,,-4.166666666666666,36.6,7.842272096613068
"Burgenland",1975,11.09237263184844,10.117296539439883,46.383333333333326,159.625,11.09237263184844,,-12.4,32,9.916129026123224
"Kärnten",1975,7.11402137736815,7.270640262470153,75.77222222222223,157.54583333333332,7.11402137736815,,-12.766666666666667,27.63333333333333,9.41253165455811
"Niederösterreich",1975,8.73485401674081,8.820558063081391,45.63888888888889,140.40166666666664,8.73485401674081,,-19.633333333333333,28.8,9.338756426160241
"Oberösterreich",1975,8.86377496159754,8.817979314030785,48.75555555555555,137.72,8.86377496159754,,-17,28.26666666666667,9.22396128666875
"Salzburg",1975,1.2815292712066908,3.3504352741775705,114.92222222222222,140.03055555555557,1.2815292712066908,,-18.799999999999997,20.933333333333334,7.4173104517523285
"Steiermark",1975,9.619162186379928,8.563845325930217,58.71666666666666,145.98333333333335,9.619162186379928,,-11.5,30.23333333333333,7.122668362658626
"Tirol",1975,8.846509643283836,2.0048112515921264,81.99444444444444,151.77604166666666,8.846509643283836,,-16.033333333333335,30.466666666666665,7.469166015841763
"Vorarlberg",1975,9.151335895954174,5.17556899404764,98.07083333333333,148.86111111111111,9.151335895954174,,-10.25,33.5,7.552462391684436
"Wien",1975,10.196141547546933,10.05799352658306,45.352777777777774,142.09833333333336,10.196141547546933,,-13.366666666666667,30.400000000000002,7.8189357088743145
"Burgenland",1976,10.42832344580398,9.680418632352582,33.07500000000001,153.85833333333335,10.42832344580398,,-11.8,34,9.648294543793773
"Kärnten",1976,6.882997813797273,6.547695630264355,53.54999999999998,159.01041666666666,6.882997813797273,,-15.633333333333336,29.200000000000003,9.101061669277241
"Niederösterreich",1976,8.363982049659475,8.43375053345412,47.045833333333334,138.02399999999997,8.363982049659475,,-17.53333333333333,32.166666666666664,9.00455615055237
"Oberösterreich",1976,8.549382647385986,8.531161347773274,50.9,145.07833333333335,8.549382647385986,,-17.06666666666667,31.9,8.884165500838732
"Salzburg",1976,-0.8093804329913896,3.1524155388703745,123.09583333333332,151.32673611111113,-0.8093804329913896,,-22.6,20.9,6.683061104731067
"Steiermark",1976,8.920886169818315,7.5271375176314965,45.229166666666664,150.9670634920635,8.920886169818315,,-15.8,32.95,6.381573649533934
"Tirol",1976,8.685718905780085,1.7005069889164603,63.50833333333333,161.98541666666665,8.685718905780085,,-17.4,32.4,6.742117867930496
"Vorarlberg",1976,9.11132321039908,5.186635179077598,90.79166666666667,154.3194444444444,9.11132321039908,,-15.65,31.35,6.891586100078417
"Wien",1976,9.636544839988453,9.779544305017428,40.33518518518519,144.195,9.636544839988453,,-13.6,34.53333333333333,7.10901853859891
"Burgenland",1977,10.84552483358935,10.080802105270761,27.61666666666667,151.90833333333333,10.84552483358935,,-11,31.5,9.439999591915058
"Kärnten",1977,7.363539665521406,6.863191185427893,58.122222222222206,146.39062499999997,7.363539665521406,,-12.433333333333334,26.433333333333334,9.128530291055675
"Niederösterreich",1977,8.511535244922342,8.800416535820986,42.966666666666676,127.54499999999999,8.511535244922342,,-14.500000000000002,29.133333333333333,9.093693558884127
"Oberösterreich",1977,8.918225166410648,8.607226458680048,59.79999999999999,136.0145454545454,8.918225166410648,,-12.966666666666667,29.4,9.05507395008644
"Salzburg",1977,1.2937406127325484,3.1297353805230417,109.52777777777779,130.93055555555554,1.2937406127325484,,-17.03333333333333,18.73333333333333,7.3865131046352595
"Steiermark",1977,9.643807603686636,8.012340167888098,34.12222222222222,149.96875,9.643807603686636,,-12.133333333333333,30.433333333333337,7.146169658654717
"Tirol",1977,9.029891619730329,2.5396144927862285,70.12500000000001,145.68541666666667,9.029891619730329,,-15.333333333333334,31.899999999999995,7.479440049496501
"Vorarlberg",1977,9.345880341515098,5.808347181440972,104.275,130.06666666666666,9.345880341515098,,-10.9,34.25,7.646309068815053
"Wien",1977,10.150919114347023,9.999602768851899,36.1925925925926,138.93166666666664,10.150919114347023,,-9.133333333333333,30.6,7.892847858402328
"Burgenland",1978,9.72626920122888,8.93891176444362,25.78333333333333,135.49166666666667,9.72626920122888,,-17.6,31.2,9.579353576101594
"Kärnten",1978,6.115570414926505,5.860411300360579,64.51388888888889,141.61666666666665,6.115570414926505,,-16.033333333333335,25.76666666666667,8.873706138349569
"Niederösterreich",1978,7.4286751152073744,7.837397231230821,33.40277777777778,126.79666666666667,7.4286751152073744,,-19.900000000000002,28.233333333333334,8.553462837444977
"Oberösterreich",1978,7.754246671786996,7.652061946433932,39.83611111111111,125.62,7.754246671786996,,-17,28.33333333333333,8.235136103499357
"Salzburg",1978,-1.7391572445048338,1.9584550376877679,123.91666666666669,127.42638888888888,-1.7391572445048338,,-19.8,17.099999999999998,5.857120831728986
"Steiermark",1978,8.35511734084315,6.988986827644991,36.19722222222222,139.44791666666663,8.35511734084315,,-12.866666666666667,28.9,5.58289045965184
"Tirol",1978,6.976995841762402,1.7204054105116304,69.85000000000001,152.36666666666667,6.976995841762402,,-15.333333333333334,29.2,5.75517554501902
"Vorarlberg",1978,8.398492932852584,4.979801811705304,107.98333333333335,133.75833333333333,8.398492932852584,,-10.9,28.95,5.949139108548062
"Wien",1978,9.135207658171513,8.939162788621163,29.23148148148148,130.18,9.135207658171513,,-17.233333333333338,30.666666666666664,6.225331305824965
"Burgenland",1979,10.418773041474655,9.485589485353747,39.60000000000001,154.35833333333335,10.418773041474655,,-15.5,31.8,8.656917363020863
"Kärnten",1979,6.704922585296604,6.298688535612972,78.34722222222223,143.27534722222217,6.704922585296604,,-19.166666666666668,25.96666666666667,8.326878411911554
"Niederösterreich",1979,7.89817332309268,8.252656388288873,55.39166666666667,134.62166666666667,7.89817332309268,,-17.733333333333334,29.5,8.51111390817761
"Oberösterreich",1979,8.325675883256526,8.188072653335169,63.68333333333332,132.73000000000002,8.325675883256526,,-16.133333333333333,29.333333333333332,8.496550498258397
"Salzburg",1979,-1.6282790724518321,2.8910463740239627,133.80000000000004,130.18055555555554,-1.6282790724518321,,-24.566666666666666,18.466666666666665,6.343853152133728
"Steiermark",1979,9.218307945041815,7.487176407247417,64.5722222222222,147.2125,9.218307945041815,,-15.333333333333334,29.766666666666666,6.10376013284716
"Tirol",1979,7.749336874858468,1.633223502741533,100.0638888888889,148.53229166666665,7.749336874858468,,-18.966666666666665,30.299999999999997,6.312642990759533
"Vorarlberg",1979,9.047286587120501,5.0777704382200675,115.85416666666667,135.27777777777777,9.047286587120501,,-15.100000000000001,29.35,6.542465643565098
"Wien",1979,9.540649827380483,9.40770011543941,47.59166666666667,145.18166666666664,9.540649827380483,,-15.2,31.866666666666667,6.78546043238989
