"SA_Bundesland(AT)","SA_Datum","Sum(SA_Nächtigungen)","Month","Year","Sesson"
"Burgenland","1974-01-01",24403,1,1974,"Winter_Haupt"
"Burgenland","1974-02-01",28813,2,1974,"Winter_Haupt"
"Burgenland","1974-03-01",37096,3,1974,"Winter_Haupt"
"Burgenland","1974-04-01",54331,4,1974,"Übergang"
"Burgenland","1974-05-01",110655,5,1974,"Sommer_Neben"
"Burgenland","1974-06-01",151485,6,1974,"Sommer_Neben"
"Burgenland","1974-07-01",299943,7,1974,"Sommer_Haupt"
"Burgenland","1974-08-01",455329,8,1974,"Sommer_Haupt"
"Burgenland","1974-09-01",142992,9,1974,"Sommer_Neben"
"Burgenland","1974-10-01",55910,10,1974,"Übergang"
"Burgenland","1974-11-01",36304,11,1974,"Übergang"
"Burgenland","1974-12-01",18376,12,1974,"Winter_Haupt"
"Burgenland","1975-01-01",24748,1,1975,"Winter_Haupt"
"Burgenland","1975-02-01",28475,2,1975,"Winter_Haupt"
"Burgenland","1975-03-01",43147,3,1975,"Winter_Haupt"
"Burgenland","1975-04-01",43826,4,1975,"Übergang"
"Burgenland","1975-05-01",131372,5,1975,"Sommer_Neben"
"Burgenland","1975-06-01",156425,6,1975,"Sommer_Neben"
"Burgenland","1975-07-01",372248,7,1975,"Sommer_Haupt"
"Burgenland","1975-08-01",399057,8,1975,"Sommer_Haupt"
"Burgenland","1975-09-01",143670,9,1975,"Sommer_Neben"
"Burgenland","1975-10-01",62703,10,1975,"Übergang"
"Burgenland","1975-11-01",33926,11,1975,"Übergang"
"Burgenland","1975-12-01",26182,12,1975,"Winter_Haupt"
"Burgenland","1976-01-01",25876,1,1976,"Winter_Haupt"
"Burgenland","1976-02-01",30277,2,1976,"Winter_Haupt"
"Burgenland","1976-03-01",38474,3,1976,"Winter_Haupt"
"Burgenland","1976-04-01",61401,4,1976,"Übergang"
"Burgenland","1976-05-01",120488,5,1976,"Sommer_Neben"
"Burgenland","1976-06-01",192127,6,1976,"Sommer_Neben"
"Burgenland","1976-07-01",364840,7,1976,"Sommer_Haupt"
"Burgenland","1976-08-01",396180,8,1976,"Sommer_Haupt"
"Burgenland","1976-09-01",180034,9,1976,"Sommer_Neben"
"Burgenland","1976-10-01",72308,10,1976,"Übergang"
"Burgenland","1976-11-01",38570,11,1976,"Übergang"
"Burgenland","1976-12-01",20346,12,1976,"Winter_Haupt"
"Burgenland","1977-01-01",27126,1,1977,"Winter_Haupt"
"Burgenland","1977-02-01",30239,2,1977,"Winter_Haupt"
"Burgenland","1977-03-01",42560,3,1977,"Winter_Haupt"
"Burgenland","1977-04-01",58349,4,1977,"Übergang"
"Burgenland","1977-05-01",136824,5,1977,"Sommer_Neben"
"Burgenland","1977-06-01",222052,6,1977,"Sommer_Neben"
"Burgenland","1977-07-01",441074,7,1977,"Sommer_Haupt"
"Burgenland","1977-08-01",421748,8,1977,"Sommer_Haupt"
"Burgenland","1977-09-01",162645,9,1977,"Sommer_Neben"
"Burgenland","1977-10-01",71178,10,1977,"Übergang"
"Burgenland","1977-11-01",36413,11,1977,"Übergang"
"Burgenland","1977-12-01",27200,12,1977,"Winter_Haupt"
