"SA_Datum","Sum(SA_Nächtigungen)"
"1974-01-01",5581626
"1974-02-01",5580351
"1974-03-01",5994098
"1974-04-01",4843727
"1974-05-01",4083886
"1974-06-01",9111958
"1974-07-01",21202790
"1974-08-01",24803977
"1974-09-01",9461435
"1974-10-01",2568584
"1974-11-01",1215196
"1974-12-01",5258506
"1975-01-01",6296934
"1975-02-01",6498262
"1975-03-01",8513206
"1975-04-01",3336488
"1975-05-01",4809328
"1975-06-01",9446767
"1975-07-01",24949936
"1975-08-01",22923048
"1975-09-01",8875202
"1975-10-01",2723754
"1975-11-01",1236795
"1975-12-01",5782258
"1976-01-01",6945092
"1976-02-01",7283543
"1976-03-01",6407335
"1976-04-01",5240361
"1976-05-01",4225927
"1976-06-01",9871341
"1976-07-01",23977697
"1976-08-01",22133849
"1976-09-01",9050150
"1976-10-01",2850000
"1976-11-01",1252049
"1976-12-01",5294998
"1977-01-01",7634971
"1977-02-01",7905493
"1977-03-01",6856720
"1977-04-01",5287386
"1977-05-01",4700974
"1977-06-01",10106491
"1977-07-01",23277715
"1977-08-01",20967513
"1977-09-01",8492968
"1977-10-01",3061405
"1977-11-01",1338749
"1977-12-01",5560137
"1978-01-01",8481689
"1978-02-01",8290662
"1978-03-01",10064355
"1978-04-01",3101374
"1978-05-01",5341878
"1978-06-01",9019707
"1978-07-01",22649263
"1978-08-01",22067724
"1978-09-01",8796999
"1978-10-01",3095467
"1978-11-01",1433061
"1978-12-01",6009280
"1979-01-01",8777230
"1979-02-01",8498327
"1979-03-01",6744278
"1979-04-01",5985356
"1979-05-01",4659976
"1979-06-01",10174228
"1979-07-01",23411054
"1979-08-01",23419446
"1979-09-01",9609616
"1979-10-01",3520195
"1979-11-01",1604171
"1979-12-01",6161986
"1980-01-01",8521905
"1980-02-01",9501815
"1980-03-01",7914099
"1980-04-01",6093622
"1980-05-01",5609707
"1980-06-01",10726643
"1980-07-01",23616644
"1980-08-01",23791511
"1980-09-01",10689845
"1980-10-01",3791627
"1980-11-01",1527951
"1980-12-01",6961003
"1981-01-01",9623620
"1981-02-01",9563003
"1981-03-01",8820020
"1981-04-01",6606487
"1981-05-01",5102585
"1981-06-01",10444903
"1981-07-01",22451662
"1981-08-01",25214890
"1981-09-01",11190060
"1981-10-01",3796459
"1981-11-01",1584298
"1981-12-01",6741099
"1982-01-01",10097766
"1982-02-01",11063162
"1982-03-01",8680391
"1982-04-01",6251539
"1982-05-01",5383356
"1982-06-01",10131773
"1982-07-01",21819622
"1982-08-01",22940022
"1982-09-01",10778734
"1982-10-01",3843656
"1982-11-01",1527686
"1982-12-01",5875870
"1983-01-01",9600275
"1983-02-01",11268209
"1983-03-01",10080623
"1983-04-01",5070060
"1983-05-01",5620023
"1983-06-01",9764861
"1983-07-01",20976039
"1983-08-01",21435151
"1983-09-01",10550492
"1983-10-01",3899954
"1983-11-01",1604554
"1983-12-01",5922611
"1984-01-01",9910938
"1984-02-01",11295554
"1984-03-01",9994481
"1984-04-01",5702045
"1984-05-01",4775436
"1984-06-01",9843131
"1984-07-01",19574400
"1984-08-01",21146345
"1984-09-01",10282870
"1984-10-01",3897140
"1984-11-01",1798785
"1984-12-01",6404427
"1985-01-01",9657824
"1985-02-01",11831955
"1985-03-01",9950850
"1985-04-01",5665570
"1985-05-01",5315253
"1985-06-01",9534948
"1985-07-01",18688299
"1985-08-01",19985511
