"SA_Datum (Year)","Sum(Sum(SA_Nächtigungen))"
1974,99706134
1975,105391978
1976,104532342
1977,105190522
1978,108351459
1979,112565863
1980,118746372
1981,121139086
1982,118393577
1983,115792852
1984,114625552
1985,112586161
1986,113621205
1987,113685155
1988,115712081
1989,123784086
1990,123677882
1991,130072683
1992,130416054
1993,127039510
1994,122359495
1995,117114323
1996,112935965
1997,109105838
1998,111156460
1999,112732571
2000,113685569
2001,115110044
2002,116803598
2003,117966376
2004,117250814
2005,119240945
2006,119403124
2007,121449386
2008,126718632
2009,124306967
2010,124880092
2011,126001981
2012,131015951
2013,132628980
2014,131900712
2015,135249389
2016,140876942
2017,144500112
2018,149819334
2019,152709084
2020,97872996
2021,79562009
2022,136912100
2023,151168943
2024,154317843
