"Sesson","Year","Sum(Sum(SA_Nächtigungen))"
"Sommer_Haupt",1974,46006767
"Sommer_Haupt",1975,47872984
"Sommer_Haupt",1976,46111546
"Sommer_Haupt",1977,44245228
"Sommer_Haupt",1978,44716987
"Sommer_Haupt",1979,46830500
"Sommer_Haupt",1980,47408155
"Sommer_Haupt",1981,47666552
"Sommer_Haupt",1982,44759644
"Sommer_Haupt",1983,42411190
"Sommer_Haupt",1984,40720745
"Sommer_Haupt",1985,38673810
"Sommer_Haupt",1986,39036449
"Sommer_Haupt",1987,37629210
"Sommer_Haupt",1988,38977360
"Sommer_Haupt",1989,40868948
"Sommer_Haupt",1990,40813147
"Sommer_Haupt",1991,43870928
"Sommer_Haupt",1992,43277827
"Sommer_Haupt",1993,41067284
"Sommer_Haupt",1994,38220064
"Sommer_Haupt",1995,35529131
"Sommer_Haupt",1996,33249866
"Sommer_Haupt",1997,31602260
"Sommer_Haupt",1998,32421248
"Sommer_Haupt",1999,32363788
"Sommer_Haupt",2000,31116803
"Sommer_Haupt",2001,31116699
"Sommer_Haupt",2002,31200176
"Sommer_Haupt",2003,31481778
"Sommer_Haupt",2004,30636054
"Sommer_Haupt",2005,30433730
"Sommer_Haupt",2006,29231591
"Sommer_Haupt",2007,30584599
"Sommer_Haupt",2008,31255122
"Sommer_Haupt",2009,31214889
"Sommer_Haupt",2010,31719211
"Sommer_Haupt",2011,32101201
"Sommer_Haupt",2012,32732235
"Sommer_Haupt",2013,33651519
"Sommer_Haupt",2014,33298959
"Sommer_Haupt",2015,34801884
"Sommer_Haupt",2016,36885469
"Sommer_Haupt",2017,37672355
"Sommer_Haupt",2018,38127900
"Sommer_Haupt",2019,38948697
"Sommer_Haupt",2020,33568607
"Sommer_Haupt",2021,36340289
"Sommer_Haupt",2022,38680750
"Sommer_Haupt",2023,39261004
"Sommer_Haupt",2024,39908345
"Sommer_Neben",1974,22657279
"Sommer_Neben",1975,23131297
"Sommer_Neben",1976,23147418
"Sommer_Neben",1977,23300433
"Sommer_Neben",1978,23158584
"Sommer_Neben",1979,24443820
"Sommer_Neben",1980,27026195
"Sommer_Neben",1981,26737548
"Sommer_Neben",1982,26293863
"Sommer_Neben",1983,25935376
"Sommer_Neben",1984,24901437
"Sommer_Neben",1985,24890764
"Sommer_Neben",1986,23956757
"Sommer_Neben",1987,24621017
"Sommer_Neben",1988,24366685
"Sommer_Neben",1989,26260898
"Sommer_Neben",1990,27636510
"Sommer_Neben",1991,28369461
"Sommer_Neben",1992,28602349
"Sommer_Neben",1993,27372863
"Sommer_Neben",1994,26222186
"Sommer_Neben",1995,24900808
"Sommer_Neben",1996,23466623
"Sommer_Neben",1997,23242359
"Sommer_Neben",1998,23654448
"Sommer_Neben",1999,23589159
"Sommer_Neben",2000,23347573
"Sommer_Neben",2001,22699136
"Sommer_Neben",2002,23446170
"Sommer_Neben",2003,24055688
"Sommer_Neben",2004,23778879
"Sommer_Neben",2005,23458771
"Sommer_Neben",2006,23819898
"Sommer_Neben",2007,24260602
"Sommer_Neben",2008,24962591
"Sommer_Neben",2009,24368546
"Sommer_Neben",2010,24490758
"Sommer_Neben",2011,25388425
"Sommer_Neben",2012,26311852
"Sommer_Neben",2013,26028807
"Sommer_Neben",2014,26838861
"Sommer_Neben",2015,27722505
"Sommer_Neben",2016,28460298
"Sommer_Neben",2017,29526778
"Sommer_Neben",2018,30570881
"Sommer_Neben",2019,31504207
"Sommer_Neben",2020,15912162
"Sommer_Neben",2021,22082326
"Sommer_Neben",2022,30860563
"Sommer_Neben",2023,33008202
"Sommer_Neben",2024,32632952
"Winter_Haupt",1974,22414581
"Winter_Haupt",1975,27090660
"Winter_Haupt",1976,25930968
"Winter_Haupt",1977,27957321
"Winter_Haupt",1978,32845986
"Winter_Haupt",1979,30181821
"Winter_Haupt",1980,32898822
"Winter_Haupt",1981,34747742
"Winter_Haupt",1982,35717189
"Winter_Haupt",1983,36871718
"Winter_Haupt",1984,37605400
"Winter_Haupt",1985,37417152
"Winter_Haupt",1986,40138162
"Winter_Haupt",1987,38702024
"Winter_Haupt",1988,39764205
"Winter_Haupt",1989,44902288
"Winter_Haupt",1990,40497987
"Winter_Haupt",1991,44369293
"Winter_Haupt",1992,44159383
"Winter_Haupt",1993,44482308
"Winter_Haupt",1994,45135355
"Winter_Haupt",1995,42808868
"Winter_Haupt",1996,43002244
"Winter_Haupt",1997,42273046
"Winter_Haupt",1998,40891502
"Winter_Haupt",1999,42999344
"Winter_Haupt",2000,45201340
"Winter_Haupt",2001,46351307
"Winter_Haupt",2002,48684354
"Winter_Haupt",2003,47373247
"Winter_Haupt",2004,47422393
"Winter_Haupt",2005,51743234
"Winter_Haupt",2006,49927450
"Winter_Haupt",2007,49720848
"Winter_Haupt",2008,55769205
"Winter_Haupt",2009,51511673
"Winter_Haupt",2010,51964039
"Winter_Haupt",2011,51611558
"Winter_Haupt",2012,53699356
"Winter_Haupt",2013,56251357
"Winter_Haupt",2014,53466047
"Winter_Haupt",2015,54178243
"Winter_Haupt",2016,57427351
"Winter_Haupt",2017,56320819
"Winter_Haupt",2018,60566486
"Winter_Haupt",2019,60156241
"Winter_Haupt",2020,42719859
"Winter_Haupt",2021,8813478
"Winter_Haupt",2022,46553667
"Winter_Haupt",2023,56830540
"Winter_Haupt",2024,60570123
"Übergang",1974,8627507
"Übergang",1975,7297037
"Übergang",1976,9342410
"Übergang",1977,9687540
"Übergang",1978,7629902
"Übergang",1979,11109722
"Übergang",1980,11413200
"Übergang",1981,11987244
"Übergang",1982,11622881
"Übergang",1983,10574568
"Übergang",1984,11397970
"Übergang",1985,11604435
"Übergang",1986,10489837
"Übergang",1987,12732904
"Übergang",1988,12603831
"Übergang",1989,11751952
"Übergang",1990,14730238
"Übergang",1991,13463001
"Übergang",1992,14376495
"Übergang",1993,14117055
"Übergang",1994,12781890
"Übergang",1995,13875516
"Übergang",1996,13217232
"Übergang",1997,11988173
"Übergang",1998,14189262
"Übergang",1999,13780280
"Übergang",2000,14019853
"Übergang",2001,14942902
"Übergang",2002,13472898
"Übergang",2003,15055663
"Übergang",2004,15413488
"Übergang",2005,13605210
"Übergang",2006,16424185
"Übergang",2007,16883337
"Übergang",2008,14731714
"Übergang",2009,17211859
"Übergang",2010,16706084
"Übergang",2011,16900797
"Übergang",2012,18272508
"Übergang",2013,16697297
"Übergang",2014,18296845
"Übergang",2015,18546757
"Übergang",2016,18103824
"Übergang",2017,20980160
"Übergang",2018,20554067
"Übergang",2019,22099939
"Übergang",2020,5672368
"Übergang",2021,12325916
"Übergang",2022,20817120
"Übergang",2023,22069197
"Übergang",2024,21206423
